3541827,NQ Wireline Parts,NQ > NRQHP Locking Coupling Conven,0,0.00,new
3541932,NQ Wireline Parts,"NQ > Nyloc bolt 3/8"" - 16 - unc + 3/4""",8,3.34,new
3542027,NQ Wireline Parts,NQ > Compression spring,28,6.20,new
3542751,NQ Wireline Parts,NQ > Head assembly USED,6,534.82,new
3543772,NQ Wireline Parts,"NQ/HQ > EZY Lock O.S. Ball 11/32""",0,0.24,new
3543812,NQ Wireline Parts,NQ > Latch compression spring,18,2.13,new
3544103,NQ Wireline Parts,NQ/HQ > EZY Lock O.S. Cap,0,26.17,new
3544105,NQ Wireline Parts,NQ/HQ > EZY Lock Overshot Spring,0,0.00,new
3545403,NQ Wireline Parts,NQ > Locking coupling with Tang,0,88.30,new
3546744,NQ Wireline Parts,NQ > EZY Lock O.S. Assembly,0,631.96,new
3546746,NQ Wireline Parts,NQ > EZY Lock O.S. Head,0,160.39,new
24891,NQ Wireline Parts,"NQ > used Inner tubes, 10' Standard Used",15,149.00,used
24898,NQ Wireline Parts,"NQ > used Outer tubes, 10' Standard Used",3,305.00,used
00000,NQ Wireline Parts,NQ > Chuck jaws,3,175.00,new
15141,HQ Wireline Parts,HQ > Comp.Springfor detant.SH,0,0.43,new
15965,HQ Wireline Parts,HQ > Locking Sleeve,0,48.39,new
24305,HQ Wireline Parts,"HQ > Spring pin 1/2"" x 2""",16,1.19,new
24312,HQ Wireline Parts,HQ > Hangar Bearing,2,19.30,new
24524,HQ Wireline Parts,"HQ > Spring pin 1/2"" x 2 3/4""",4,0.48,new
24528,HQ Wireline Parts,HQ > Thrust Bearing,0,17.68,new
24529,HQ Wireline Parts,HQ > Compression Spring,3,0.40,new
25231,HQ Wireline Parts,HQ > Spindle,1,41.68,new
25232,HQ Wireline Parts,"HQ > Shut off Rubbers,Black(Soft)",0,5.19,new
25233,HQ Wireline Parts,HQ > Vale Adjuster Washer,17,2.70,new
25234,HQ Wireline Parts,HQ > Spindle bearing,2,43.28,new
25236,HQ Wireline Parts,"HQ > Inner Tubes, 10' New",4,139.00,new
25237,HQ Wireline Parts,HQ > Core Lifter Case,14,16.53,new
25238,HQ Wireline Parts,HQ > Stop Ring,16,8.23,new
25241,HQ Wireline Parts,HQ > Adapter Coupling,4,38.28,new
25242,HQ Wireline Parts,HQ > Landing Ring,4,20.28,new
25243,HQ Wireline Parts,"HQ > Outer Tubes, 10' New",0,0.00,new
25258,HQ Wireline Parts,HQ > Inner Tube 5' New,0,0.00,new
25259,HQ Wireline Parts,HQ > Outer Tube 5' New,0,0.00,new
25324,HQ Wireline Parts,HQ > Spindle Busing,3,0.00,new
26513,HQ Wireline Parts,HQ > HQ-3 Splits,2,184.39,new
26514,HQ Wireline Parts,HQ > HQ-3 Core lifter Cases,6,24.98,new
26515,HQ Wireline Parts,HQ > HQ-3 Stop Rings,0,6.16,new
26516,HQ Wireline Parts,HQ > HQ-3Core lifters,21,29.38,new
28255,HQ Wireline Parts,HQ > Inner Tube Wrenches,0,135.94,new
30489,HQ Wireline Parts,HQ > Core Lifters,30,9.41,new
38464,HQ Wireline Parts,HQ/NW > HQ JAWS,5,159.68,new
40401,HQ Wireline Parts,HQ > Grease Cap,0,99.35,new
40678,HQ Wireline Parts,HQ > Innter Tube Cap Assembly,1,0.00,new
42905,HQ Wireline Parts,"HQ > Sprial Pin /16"" x 1""",0,0.00,new
42906,HQ Wireline Parts,HQ > Plain Pin 1/2 x 15/16,0,4.21,new
42913,HQ Wireline Parts,HQ > Spear Head,0,20.20,new
43513,HQ Wireline Parts,"HQ > Shut Off Valve,Yellow,(hard)",7,0.00,new
44408,HQ Wireline Parts,HQ > Stabilizing Ring,0,21.32,new
44574,HQ Wireline Parts,HQ > Hex adjustment nut,0,0.00,new
62374,HQ Wireline Parts,HQ > Stainless steel ball 22mm,0,0.00,new
62380,HQ Wireline Parts,HQ > Landing Indicator Bushing,0,0.00,new
63515,HQ Wireline Parts,HQ > Corebarrel Assembly 10' used,6,1364.28,used
63515,HQ Wireline Parts,HQ > Corebarrel Assembly 10' new,0,1364.28,new
103465,HQ Wireline Parts,HQ > Store Lock nut,2,0.00,new
104818,HQ Wireline Parts,"HQ > Latch, HQ",6,16.97,new
104953,HQ Wireline Parts,HQ > Washer,6,5.08,new
104957,HQ Wireline Parts,HQ > Lower latch body,0,0.00,new
104958,HQ Wireline Parts,HQ > Landing Ring,1,26.09,new
